params,mean_test_score,std_test_score,rank_test_score
"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 9, 'learning_rate': 0.5, 'l2_regularization': 0.3, 'early_stopping': False}",0.7917124999999999,0.0013633598204435863,1
"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 6, 'learning_rate': 0.2, 'l2_regularization': 0.4, 'early_stopping': False}",0.7850624999999999,0.0027223037119322377,2
"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 40, 'max_depth': 7, 'learning_rate': 0.5, 'l2_regularization': 0.5, 'early_stopping': True}",0.7829499999999999,0.004801757490752751,3
"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 25, 'max_depth': 9, 'learning_rate': 0.5, 'l2_regularization': 0.3, 'early_stopping': True}",0.7812875,0.0025058057586333313,4
"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 25, 'max_depth': 7, 'learning_rate': 0.5, 'l2_regularization': 0.4, 'early_stopping': True}",0.77895,0.001379198136599685,5
"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 40, 'max_depth': 5, 'learning_rate': 0.2, 'l2_regularization': 0.1, 'early_stopping': False}",0.7675625,0.002123160968932884,6
"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 35, 'max_depth': 6, 'learning_rate': 0.1, 'l2_regularization': 0.2, 'early_stopping': False}",0.7572624999999998,0.0018550606459089064,7
"{'warm_start': False, 'min_samples_leaf': 25, 'max_leaf_nodes': 25, 'max_depth': 9, 'learning_rate': 0.1, 'l2_regularization': 0.3, 'early_stopping': True}",0.751,0.002398892973852714,8
"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 30, 'max_depth': 4, 'learning_rate': 0.1, 'l2_regularization': 0.3, 'early_stopping': False}",0.7317,0.005217219086831598,9
"{'warm_start': True, 'min_samples_leaf': 20, 'max_leaf_nodes': 45, 'max_depth': 10, 'learning_rate': 0.02, 'l2_regularization': 0.1, 'early_stopping': True}",0.7308749999999999,0.004274378609809867,10
"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 30, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 0.0, 'early_stopping': True}",0.7286124999999999,0.0043636280776436385,11
"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 20, 'max_depth': 9, 'learning_rate': 0.05, 'l2_regularization': 0.1, 'early_stopping': False}",0.7278875000000001,0.005038818065776952,12
"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 35, 'max_depth': 8, 'learning_rate': 0.02, 'l2_regularization': 0.3, 'early_stopping': True}",0.7249375,0.004499479136522381,13
"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 35, 'max_depth': 7, 'learning_rate': 0.01, 'l2_regularization': 0.1, 'early_stopping': True}",0.720925,0.004124507546362338,14
"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 45, 'max_depth': 6, 'learning_rate': 0.01, 'l2_regularization': 0.2, 'early_stopping': False}",0.7207250000000001,0.004905768288453879,15
"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 25, 'max_depth': 8, 'learning_rate': 0.02, 'l2_regularization': 0.2, 'early_stopping': True}",0.7202999999999999,0.00474924336078917,16
"{'warm_start': False, 'min_samples_leaf': 30, 'max_leaf_nodes': 40, 'max_depth': 3, 'learning_rate': 0.1, 'l2_regularization': 0.4, 'early_stopping': False}",0.720075,0.005105970769599057,17
"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 45, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 0.0, 'early_stopping': True}",0.718525,0.0051226519011152985,18
"{'warm_start': True, 'min_samples_leaf': 20, 'max_leaf_nodes': 20, 'max_depth': 6, 'learning_rate': 0.02, 'l2_regularization': 0.5, 'early_stopping': False}",0.7179875000000001,0.0049724868023957505,19
"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 20, 'max_depth': 8, 'learning_rate': 0.01, 'l2_regularization': 0.2, 'early_stopping': True}",0.7166,0.0043883012088962135,20
"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 35, 'max_depth': 2, 'learning_rate': 0.2, 'l2_regularization': 0.3, 'early_stopping': False}",0.7161375,0.00417346528678508,21
"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 30, 'max_depth': 2, 'learning_rate': 0.1, 'l2_regularization': 0.3, 'early_stopping': True}",0.71035,0.004150225897466305,22
"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 25, 'max_depth': 4, 'learning_rate': 0.01, 'l2_regularization': 0.2, 'early_stopping': True}",0.70905,0.003911002109434356,23
"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 40, 'max_depth': 2, 'learning_rate': 0.05, 'l2_regularization': 0.5, 'early_stopping': False}",0.7042625,0.004543264245011491,24
"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 30, 'max_depth': 4, 'learning_rate': 0.005, 'l2_regularization': 0.5, 'early_stopping': True}",0.672925,0.002781467688110003,25
"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 40, 'max_depth': 6, 'learning_rate': 0.002, 'l2_regularization': 0.3, 'early_stopping': False}",0.5808,0.0022999320642140596,26
"{'warm_start': True, 'min_samples_leaf': 20, 'max_leaf_nodes': 45, 'max_depth': 1, 'learning_rate': 0.005, 'l2_regularization': 0.5, 'early_stopping': False}",0.5735250000000001,0.0018727486483775615,27
"{'warm_start': False, 'min_samples_leaf': 25, 'max_leaf_nodes': 20, 'max_depth': 6, 'learning_rate': 0.002, 'l2_regularization': 0.1, 'early_stopping': False}",0.5713374999999999,0.00205836707124846,28
"{'warm_start': False, 'min_samples_leaf': 25, 'max_leaf_nodes': 20, 'max_depth': 8, 'learning_rate': 0.002, 'l2_regularization': 0.1, 'early_stopping': True}",0.5688124999999999,0.004478594924750417,29
"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 20, 'max_depth': 4, 'learning_rate': 0.002, 'l2_regularization': 0.5, 'early_stopping': False}",0.5668375,0.0028013947419098005,30
"{'warm_start': False, 'min_samples_leaf': 30, 'max_leaf_nodes': 40, 'max_depth': 3, 'learning_rate': 0.002, 'l2_regularization': 0.3, 'early_stopping': False}",0.5333,0.0013638181696985648,31
"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 30, 'max_depth': 5, 'learning_rate': 0.001, 'l2_regularization': 0.0, 'early_stopping': True}",0.5321875,0.0,32
"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 30, 'max_depth': 1, 'learning_rate': 0.0005, 'l2_regularization': 0.4, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': True, 'min_samples_leaf': 20, 'max_leaf_nodes': 45, 'max_depth': 10, 'learning_rate': 0.001, 'l2_regularization': 0.5, 'early_stopping': True}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 35, 'max_depth': 6, 'learning_rate': 0.001, 'l2_regularization': 0.0, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 45, 'max_depth': 4, 'learning_rate': 0.001, 'l2_regularization': 0.5, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 30, 'max_depth': 5, 'learning_rate': 0.0002, 'l2_regularization': 0.2, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 30, 'max_depth': 1, 'learning_rate': 0.0002, 'l2_regularization': 0.3, 'early_stopping': False}",0.5321875,0.0,32
"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 45, 'max_depth': 6, 'learning_rate': 0.0002, 'l2_regularization': 0.4, 'early_stopping': True}",0.5321875,0.0,32
"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 30, 'max_depth': 1, 'learning_rate': 0.0001, 'l2_regularization': 0.3, 'early_stopping': False}",0.5321875,0.0,32
